symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,days,
HEROMOTOCO,29-05-2023,10-07-2023,2611.4,2949.7,51,17253.3,42,
HEROMOTOCO,29-05-2023,04-07-2023,2611.4,2858.1,22,5427.4,36,
ITI,29-05-2023,10-07-2023,106.65,108.4,589,1030.75,42,
EDELWEISS,29-05-2023,02-06-2023,46.45,36.75,2042,-19807.4,4,
SUZLON,05-06-2023,17-07-2023,11.4,18.2,4799,32633.2,42,
REPCOHOME,05-06-2023,17-07-2023,276.25,314.1,248,9386.8,42,
KOLTEPATIL,05-06-2023,17-07-2023,344.05,385.05,194,7954,42,
REPCOHOME,05-06-2023,05-07-2023,276.25,329.45,103,5479.6,30,
DIXON,05-06-2023,17-07-2023,3980.5,4333.35,14,4939.9,42,
SUZLON,05-06-2023,07-06-2023,11.4,14.45,1611,4913.55,2,
ECLERX,05-06-2023,17-07-2023,857.4,913.8,65,3666,42,
DIXON,05-06-2023,15-06-2023,3980.5,4577,5,2982.5,10,
GILLETTE,03-07-2023,14-08-2023,5014.5,5350.5,23,7728,42,
GILLETTE,03-07-2023,14-07-2023,5014.5,5662,9,5827.5,11,
ZEEL,31-07-2023,11-09-2023,237.37,274.05,542,19880.56,42,
ZEEL,31-07-2023,10-08-2023,237.37,276.55,266,10421.88,10,
IPCALAB,31-07-2023,11-09-2023,873.5,899.7,238,6235.6,42,
TNPL,28-08-2023,05-10-2023,265.4,254.8,672,-7123.2,38,
IRB,11-09-2023,14-09-2023,17.08,15.92,13452,-15604.32,3,
RADICO,12-11-2023,19-12-2023,1386.6,1541.65,108,16745.4,37,
WABAG,12-11-2023,26-12-2023,566.8,598.05,363,11343.75,44,
RADICO,12-11-2023,04-12-2023,1386.6,1649.5,40,10516,22,
HINDPETRO,20-11-2023,01-01-2024,179.1,239.15,623,37411.15,42,
BPCL,20-11-2023,01-01-2024,171.2,208.6,724,27077.6,42,
APOLLOTYRE,20-11-2023,01-01-2024,425.85,453.25,352,9644.8,42,
HINDPETRO,20-11-2023,04-12-2023,179.1,224.15,203,9145.15,14,
BPCL,20-11-2023,30-11-2023,171.2,191.35,346,6971.9,10,
BDL,04-12-2023,15-01-2024,616.8,877.85,130,33936.5,42,
BDL,04-12-2023,18-12-2023,616.8,764.6,42,6207.6,14,
AMBUJACEM,11-12-2023,23-01-2024,504,525.05,252,5304.6,43,
INDIACEM,11-12-2023,23-01-2024,269.5,235.35,252,-8605.8,43,
HFCL,26-12-2023,06-02-2024,85.8,103.5,664,11752.8,42,
