date,symbol,rs_score,reason
2024-07-01 00:00:00+05:30,OMAXE,0.11,max positions
2024-07-01 00:00:00+05:30,CENTURYPLY,0.06,max positions
2024-07-01 00:00:00+05:30,APOLLOTYRE,0.04,max positions
2024-07-01 00:00:00+05:30,CAPLIPOINT,-0.02,max positions
2024-07-01 00:00:00+05:30,RUPA,-0.03,max positions
2024-07-01 00:00:00+05:30,JKCEMENT,-0.03,max positions
2024-07-01 00:00:00+05:30,FSL,-0.04,max positions
2024-07-01 00:00:00+05:30,GNFC,-0.04,max positions
2024-07-02 00:00:00+05:30,ORIENTCEM,0.39,max positions
2024-07-02 00:00:00+05:30,BBTC,0.27,max positions
2024-07-02 00:00:00+05:30,OMAXE,0.22,max positions
2024-07-02 00:00:00+05:30,INDIACEM,0.16,max positions
2024-07-02 00:00:00+05:30,FSL,0.04,max positions
2024-07-02 00:00:00+05:30,CENTURYPLY,0.03,max positions
2024-07-02 00:00:00+05:30,APOLLOTYRE,0.02,max positions
2024-07-02 00:00:00+05:30,CAPLIPOINT,-0.01,max positions
2024-07-02 00:00:00+05:30,RUPA,-0.03,max positions
2024-07-02 00:00:00+05:30,GNFC,-0.06,max positions
