equity,,equity,date,
1000000.00,,1000000.00,22-07-2022,00:00:00+05:30
1000000.00,,1000000.00,25-07-2022,00:00:00+05:30
1000000.00,,1000000.00,26-07-2022,00:00:00+05:30
1000000.00,,1000000.00,27-07-2022,00:00:00+05:30
1000000.00,,1000000.00,28-07-2022,00:00:00+05:30
1000000.00,,1000000.00,29-07-2022,00:00:00+05:30
1000000.00,,1000000.00,01-08-2022,00:00:00+05:30
1000000.00,,1000000.00,02-08-2022,00:00:00+05:30
1000000.00,,1000000.00,03-08-2022,00:00:00+05:30
1000000.00,,1000000.00,04-08-2022,00:00:00+05:30
1000000.00,,1000000.00,05-08-2022,00:00:00+05:30
1000000.00,,1000000.00,08-08-2022,00:00:00+05:30
1000000.00,,1000000.00,10-08-2022,00:00:00+05:30
1000000.00,,1000000.00,11-08-2022,00:00:00+05:30
1000000.00,,1000000.00,12-08-2022,00:00:00+05:30
1000000.00,,1000000.00,16-08-2022,00:00:00+05:30
1000000.00,,1000000.00,17-08-2022,00:00:00+05:30
1000000.00,,1000000.00,18-08-2022,00:00:00+05:30
1000000.00,,1000000.00,19-08-2022,00:00:00+05:30
1000000.00,,1000000.00,22-08-2022,00:00:00+05:30
1000000.00,,1000000.00,23-08-2022,00:00:00+05:30
1000000.00,,1000000.00,24-08-2022,00:00:00+05:30
1000000.00,,1000000.00,25-08-2022,00:00:00+05:30
1000000.00,,1000000.00,26-08-2022,00:00:00+05:30
1000000.00,,1000000.00,29-08-2022,00:00:00+05:30
1000000.00,,1000000.00,30-08-2022,00:00:00+05:30
1000000.00,,1000000.00,01-09-2022,00:00:00+05:30
1000000.00,,1000000.00,02-09-2022,00:00:00+05:30
1000000.00,,1000000.00,05-09-2022,00:00:00+05:30
1000000.00,,1000000.00,06-09-2022,00:00:00+05:30
1000000.00,,1000000.00,07-09-2022,00:00:00+05:30
1000000.00,,1000000.00,08-09-2022,00:00:00+05:30
1000000.00,,1000000.00,09-09-2022,00:00:00+05:30
1000000.00,,1000000.00,12-09-2022,00:00:00+05:30
1000000.00,,1000000.00,13-09-2022,00:00:00+05:30
1000000.00,,1000000.00,14-09-2022,00:00:00+05:30
1000000.00,,1000000.00,15-09-2022,00:00:00+05:30
1000000.00,,1000000.00,16-09-2022,00:00:00+05:30
1000000.00,,1000000.00,19-09-2022,00:00:00+05:30
1000000.00,,1000000.00,20-09-2022,00:00:00+05:30
1000000.00,,1000000.00,21-09-2022,00:00:00+05:30
1000000.00,,1000000.00,22-09-2022,00:00:00+05:30
1000000.00,,1000000.00,23-09-2022,00:00:00+05:30
1000000.00,,1000000.00,26-09-2022,00:00:00+05:30
1000000.00,,1000000.00,27-09-2022,00:00:00+05:30
1000000.00,,1000000.00,28-09-2022,00:00:00+05:30
1000000.00,,1000000.00,29-09-2022,00:00:00+05:30
1000000.00,,1000000.00,30-09-2022,00:00:00+05:30
1000000.00,,1000000.00,03-10-2022,00:00:00+05:30
1000000.00,,1000000.00,04-10-2022,00:00:00+05:30
1000000.00,,1000000.00,06-10-2022,00:00:00+05:30
1000000.00,,1000000.00,07-10-2022,00:00:00+05:30
1000000.00,,1000000.00,10-10-2022,00:00:00+05:30
1000000.00,,1000000.00,11-10-2022,00:00:00+05:30
1000000.00,,1000000.00,12-10-2022,00:00:00+05:30
1000000.00,,1000000.00,13-10-2022,00:00:00+05:30
1000000.00,,1000000.00,14-10-2022,00:00:00+05:30
1000000.00,,1000000.00,17-10-2022,00:00:00+05:30
1000000.00,,1000000.00,18-10-2022,00:00:00+05:30
1000000.00,,1000000.00,19-10-2022,00:00:00+05:30
1000000.00,,1000000.00,20-10-2022,00:00:00+05:30
1000000.00,,1000000.00,21-10-2022,00:00:00+05:30
1000000.00,,1000000.00,24-10-2022,00:00:00+05:30
1000000.00,,1000000.00,25-10-2022,00:00:00+05:30
1000000.00,,1000000.00,27-10-2022,00:00:00+05:30
1000000.00,,1000000.00,28-10-2022,00:00:00+05:30
1000000.00,,1000000.00,31-10-2022,00:00:00+05:30
1000000.00,,1000000.00,01-11-2022,00:00:00+05:30
1000000.00,,1000000.00,02-11-2022,00:00:00+05:30
1000000.00,,1000000.00,03-11-2022,00:00:00+05:30
1000000.00,,1000000.00,04-11-2022,00:00:00+05:30
1000000.00,,1000000.00,07-11-2022,00:00:00+05:30
1000000.00,,1000000.00,09-11-2022,00:00:00+05:30
1000000.00,,1000000.00,10-11-2022,00:00:00+05:30
1000000.00,,1000000.00,11-11-2022,00:00:00+05:30
1000000.00,,1000000.00,14-11-2022,00:00:00+05:30
1000000.00,,1000000.00,15-11-2022,00:00:00+05:30
1000000.00,,1000000.00,16-11-2022,00:00:00+05:30
1000000.00,,1000000.00,17-11-2022,00:00:00+05:30
1000000.00,,1000000.00,18-11-2022,00:00:00+05:30
1000000.00,,1000000.00,21-11-2022,00:00:00+05:30
1000000.00,,1000000.00,22-11-2022,00:00:00+05:30
1000000.00,,1000000.00,23-11-2022,00:00:00+05:30
1000000.00,,1000000.00,24-11-2022,00:00:00+05:30
1000000.00,,1000000.00,25-11-2022,00:00:00+05:30
1000000.00,,1000000.00,28-11-2022,00:00:00+05:30
1000000.00,,1000000.00,29-11-2022,00:00:00+05:30
1000000.00,,1000000.00,30-11-2022,00:00:00+05:30
1000000.00,,1000000.00,01-12-2022,00:00:00+05:30
1000000.00,,1000000.00,02-12-2022,00:00:00+05:30
1000000.00,,1000000.00,05-12-2022,00:00:00+05:30
1000000.00,,1000000.00,06-12-2022,00:00:00+05:30
1000000.00,,1000000.00,07-12-2022,00:00:00+05:30
1000000.00,,1000000.00,08-12-2022,00:00:00+05:30
1000000.00,,1000000.00,09-12-2022,00:00:00+05:30
1000000.00,,1000000.00,12-12-2022,00:00:00+05:30
1000000.00,,1000000.00,13-12-2022,00:00:00+05:30
1000000.00,,1000000.00,14-12-2022,00:00:00+05:30
1000000.00,,1000000.00,15-12-2022,00:00:00+05:30
1000000.00,,1000000.00,16-12-2022,00:00:00+05:30
1000000.00,,1000000.00,19-12-2022,00:00:00+05:30
1000000.00,,1000000.00,20-12-2022,00:00:00+05:30
1000000.00,,1000000.00,21-12-2022,00:00:00+05:30
1000000.00,,1000000.00,22-12-2022,00:00:00+05:30
