symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl
GRSE,2024-04-29 00:00:00+05:30,2024-06-05 00:00:00+05:30,1001.2,1180.15,45,8052.750000000002
PGEL,2024-05-21 00:00:00+05:30,2024-06-07 00:00:00+05:30,234.75,281.35,128,5964.800000000003
TEJASNET,2024-04-29 00:00:00+05:30,2024-06-10 00:00:00+05:30,1117.45,1285.9,74,12465.300000000003
LTFOODS,2024-04-29 00:00:00+05:30,2024-06-10 00:00:00+05:30,214.5,248.57,305,10391.349999999999
RHIM,2024-06-03 00:00:00+05:30,2024-06-24 00:00:00+05:30,712.8,650.2,115,-7198.999999999989
CRAFTSMAN,2024-06-24 00:00:00+05:30,2024-07-01 00:00:00+05:30,4830.75,5576.0,8,5962.0
PGEL,2024-05-21 00:00:00+05:30,2024-07-02 00:00:00+05:30,234.75,386.4,257,38974.049999999996
BLUEDART,2024-05-21 00:00:00+05:30,2024-07-02 00:00:00+05:30,7288.85,8218.15,17,15798.099999999988
LALPATHLAB,2024-05-27 00:00:00+05:30,2024-07-08 00:00:00+05:30,1316.2,1453.2,74,10138.0
INDIACEM,2024-07-01 00:00:00+05:30,2024-07-18 00:00:00+05:30,283.0,344.75,77,4754.75
3MINDIA,2024-06-18 00:00:00+05:30,2024-07-30 00:00:00+05:30,37068.55,39600.65,4,10128.399999999994
FACT,2024-06-24 00:00:00+05:30,2024-08-05 00:00:00+05:30,1021.0,934.65,99,-8548.650000000001
RKFORGE,2024-06-24 00:00:00+05:30,2024-08-05 00:00:00+05:30,896.8,844.8,112,-5824.0
CRAFTSMAN,2024-06-24 00:00:00+05:30,2024-08-05 00:00:00+05:30,4830.75,5183.0,17,5988.25
TTML,2024-07-22 00:00:00+05:30,2024-08-05 00:00:00+05:30,102.03,91.65,771,-8002.979999999997
BBTC,2024-07-01 00:00:00+05:30,2024-08-06 00:00:00+05:30,2083.25,2079.55,44,-162.799999999992
PARADEEP,2024-07-01 00:00:00+05:30,2024-08-12 00:00:00+05:30,84.92,88.92,1046,4184.0
INDIACEM,2024-07-01 00:00:00+05:30,2024-08-12 00:00:00+05:30,283.0,367.25,186,15670.5
PERSISTENT,2024-07-08 00:00:00+05:30,2024-08-19 00:00:00+05:30,4586.3,4874.5,24,6916.799999999996
COFORGE,2024-07-22 00:00:00+05:30,2024-09-02 00:00:00+05:30,1215.0,1268.0,83,4399.0
AWL,2024-08-12 00:00:00+05:30,2024-09-23 00:00:00+05:30,369.1,351.35,495,-8786.25
SBFC,2024-09-23 00:00:00+05:30,2024-09-24 00:00:00+05:30,105.62,97.95,2775,-21284.250000000004
DELHIVERY,2024-09-23 00:00:00+05:30,2024-10-07 00:00:00+05:30,433.45,404.05,476,-13994.399999999989
FLUOROCHEM,2024-09-09 00:00:00+05:30,2024-10-21 00:00:00+05:30,3976.5,4812.65,12,10033.799999999996
FLUOROCHEM,2024-09-09 00:00:00+05:30,2024-10-21 00:00:00+05:30,3976.5,4812.65,26,21739.89999999999
JPPOWER,2024-10-14 00:00:00+05:30,2024-10-22 00:00:00+05:30,21.32,18.3,6306,-19044.12
ZENSARTECH,2024-12-16 00:00:00+05:30,2024-12-23 00:00:00+05:30,811.35,741.45,144,-10065.599999999997
CYIENT,2024-12-16 00:00:00+05:30,2024-12-23 00:00:00+05:30,2076.75,1894.95,34,-6181.199999999999
BEML,2024-12-16 00:00:00+05:30,2024-12-26 00:00:00+05:30,2228.8,2005.6,47,-10490.400000000012
GPIL,2024-12-16 00:00:00+05:30,2024-12-26 00:00:00+05:30,233.3,207.28,231,-6010.620000000003
NAVINFLUOR,2024-12-09 00:00:00+05:30,2024-12-30 00:00:00+05:30,3533.1,3217.5,66,-20829.599999999995
REDINGTON,2024-12-16 00:00:00+05:30,2024-12-30 00:00:00+05:30,214.43,187.93,472,-12508.0
GICRE,2024-12-16 00:00:00+05:30,2024-12-30 00:00:00+05:30,430.55,432.85,213,489.9000000000024
ITI,2024-12-16 00:00:00+05:30,2025-01-06 00:00:00+05:30,373.0,544.35,63,10795.050000000001
SWANCORP,2024-12-16 00:00:00+05:30,2025-01-06 00:00:00+05:30,781.7,697.85,155,-12996.750000000004
ITI,2024-12-16 00:00:00+05:30,2025-01-09 00:00:00+05:30,373.0,440.4,216,14558.399999999994
LEMONTREE,2024-12-16 00:00:00+05:30,2025-01-10 00:00:00+05:30,149.73,140.35,1106,-10374.279999999995
M&MFIN,2025-03-24 00:00:00+05:30,2025-04-02 00:00:00+05:30,278.3,255.05,650,-15112.5
GODREJIND,2025-03-24 00:00:00+05:30,2025-04-04 00:00:00+05:30,1237.65,1079.4,107,-16932.75
COROMANDEL,2025-03-24 00:00:00+05:30,2025-05-05 00:00:00+05:30,1986.0,2228.2,75,18164.999999999985
PATANJALI,2025-04-15 00:00:00+05:30,2025-05-09 00:00:00+05:30,644.4,586.6,161,-9305.799999999992
AMBER,2025-04-01 00:00:00+05:30,2025-05-12 00:00:00+05:30,6879.55,6237.0,6,-3855.300000000001
GODFRYPHLP,2025-04-01 00:00:00+05:30,2025-05-13 00:00:00+05:30,2369.0,2998.0,25,15725.0
SHYAMMETL,2025-04-01 00:00:00+05:30,2025-05-13 00:00:00+05:30,860.5,913.75,83,4419.75
DOMS,2025-04-01 00:00:00+05:30,2025-05-13 00:00:00+05:30,2742.15,2797.2,18,990.8999999999951
MARICO,2025-04-15 00:00:00+05:30,2025-05-27 00:00:00+05:30,711.85,715.65,180,683.9999999999918
HOMEFIRST,2025-04-21 00:00:00+05:30,2025-06-02 00:00:00+05:30,1208.9,1262.8,72,3880.79999999999
TARIL,2025-04-21 00:00:00+05:30,2025-06-02 00:00:00+05:30,546.9,528.8,102,-1846.2000000000023
BSE,2025-04-21 00:00:00+05:30,2025-06-02 00:00:00+05:30,2095.0,2693.3,26,15555.800000000005
CEATLTD,2025-05-05 00:00:00+05:30,2025-06-16 00:00:00+05:30,3430.9,3638.8,30,6237.000000000003
JYOTICNC,2025-05-19 00:00:00+05:30,2025-06-19 00:00:00+05:30,1259.9,1101.0,59,-9375.100000000006
EIDPARRY,2025-05-12 00:00:00+05:30,2025-06-23 00:00:00+05:30,875.0,973.0,125,12250.0
PAGEIND,2025-05-12 00:00:00+05:30,2025-06-23 00:00:00+05:30,47050.0,45430.0,2,-3240.0
ELECON,2025-05-19 00:00:00+05:30,2025-06-30 00:00:00+05:30,674.2,654.7,112,-2184.0
INTELLECT,2025-05-19 00:00:00+05:30,2025-06-30 00:00:00+05:30,1062.15,1148.9,74,6419.5
CDSL,2025-06-02 00:00:00+05:30,2025-07-14 00:00:00+05:30,1682.9,1677.4,75,-412.5
CLEAN,2025-06-02 00:00:00+05:30,2025-07-14 00:00:00+05:30,1505.9,1455.6,72,-3621.600000000013
PFIZER,2025-06-02 00:00:00+05:30,2025-07-14 00:00:00+05:30,5623.5,5411.0,21,-4462.5
JUBLPHARMA,2025-06-02 00:00:00+05:30,2025-07-14 00:00:00+05:30,1169.7,1194.0,67,1628.099999999997
360ONE,2025-06-16 00:00:00+05:30,2025-07-28 00:00:00+05:30,1169.6,1074.6,57,-5415.0
USHAMART,2025-07-07 00:00:00+05:30,2025-08-08 00:00:00+05:30,374.75,340.3,384,-13228.799999999996
MANKIND,2025-07-21 00:00:00+05:30,2025-08-11 00:00:00+05:30,2646.0,2437.5,68,-14178.0
SARDAEN,2025-08-18 00:00:00+05:30,2025-09-29 00:00:00+05:30,581.25,553.6,317,-8765.049999999992
YESBANK,2025-09-15 00:00:00+05:30,2025-10-10 00:00:00+05:30,21.01,24.0,2827,8452.729999999996
NLCINDIA,2025-09-15 00:00:00+05:30,2025-10-27 00:00:00+05:30,261.92,260.5,710,-1008.2000000000113
YESBANK,2025-09-15 00:00:00+05:30,2025-10-27 00:00:00+05:30,21.01,22.77,7065,12434.399999999985
360ONE,2025-10-27 00:00:00+05:30,2025-10-31 00:00:00+05:30,1173.0,1080.7,67,-6184.099999999997
SBICARD,2025-10-20 00:00:00+05:30,2025-11-06 00:00:00+05:30,937.95,870.2,100,-6775.0
MRPL,2025-10-27 00:00:00+05:30,2025-11-11 00:00:00+05:30,146.63,174.67,150,4205.999999999999
CANFINHOME,2025-10-13 00:00:00+05:30,2025-11-18 00:00:00+05:30,801.35,906.8,63,6643.349999999996
CEATLTD,2025-10-20 00:00:00+05:30,2025-11-18 00:00:00+05:30,4203.9,3885.6,24,-7639.199999999993
APLAPOLLO,2025-10-13 00:00:00+05:30,2025-11-24 00:00:00+05:30,1742.2,1716.2,129,-3354.0
CANFINHOME,2025-10-13 00:00:00+05:30,2025-11-24 00:00:00+05:30,801.35,890.2,132,11728.200000000003
HUDCO,2025-10-13 00:00:00+05:30,2025-11-24 00:00:00+05:30,230.41,228.19,582,-1292.0399999999993
CESC,2025-10-27 00:00:00+05:30,2025-11-24 00:00:00+05:30,180.12,167.4,393,-4998.959999999999
MRPL,2025-10-27 00:00:00+05:30,2025-11-27 00:00:00+05:30,146.63,156.93,323,3326.9000000000037
AUBANK,2025-10-20 00:00:00+05:30,2025-12-01 00:00:00+05:30,865.2,950.5,101,8615.299999999996
FEDERALBNK,2025-10-27 00:00:00+05:30,2025-12-02 00:00:00+05:30,234.04,258.45,210,5126.099999999999
POWERINDIA,2025-11-24 00:00:00+05:30,2025-12-05 00:00:00+05:30,21542.0,19305.0,5,-11185.0
FEDERALBNK,2025-10-27 00:00:00+05:30,2025-12-08 00:00:00+05:30,234.04,257.45,428,10019.479999999998
BERGEPAINT,2025-11-24 00:00:00+05:30,2025-12-08 00:00:00+05:30,579.3,539.1,287,-11537.39999999998
BHEL,2025-11-03 00:00:00+05:30,2025-12-15 00:00:00+05:30,264.95,282.6,266,4694.900000000009
POLICYBZR,2025-12-08 00:00:00+05:30,2025-12-17 00:00:00+05:30,1913.9,1765.0,87,-12954.300000000008
REDINGTON,2025-11-10 00:00:00+05:30,2025-12-22 00:00:00+05:30,287.5,274.85,158,-1998.6999999999964
AJANTPHARM,2025-12-15 00:00:00+05:30,2026-01-01 00:00:00+05:30,2642.1,2938.4,21,6222.300000000004
ANURAS,2025-11-24 00:00:00+05:30,2026-01-05 00:00:00+05:30,1190.7,1328.4,148,20379.600000000006
EMCURE,2025-12-01 00:00:00+05:30,2026-01-12 00:00:00+05:30,1434.1,1499.1,79,5135.0
AJANTPHARM,2025-12-15 00:00:00+05:30,2026-01-16 00:00:00+05:30,2642.1,2680.9,46,1784.8000000000084
ZFCVINDIA,2025-12-15 00:00:00+05:30,2026-01-20 00:00:00+05:30,14631.0,13738.0,10,-8930.0
COROMANDEL,2025-12-22 00:00:00+05:30,2026-02-02 00:00:00+05:30,2395.7,2215.6,51,-9185.099999999995
GLENMARK,2026-01-05 00:00:00+05:30,2026-02-02 00:00:00+05:30,2039.2,1920.4,98,-11642.399999999996
TIMKEN,2026-02-09 00:00:00+05:30,2026-02-13 00:00:00+05:30,3287.1,3062.8,60,-13457.999999999984
AARTIIND,2026-02-16 00:00:00+05:30,2026-03-04 00:00:00+05:30,455.25,412.5,432,-18468.0
BLUESTARCO,2026-02-16 00:00:00+05:30,2026-03-04 00:00:00+05:30,1975.4,1843.6,76,-10016.800000000014
HSCL,2026-02-23 00:00:00+05:30,2026-03-04 00:00:00+05:30,490.35,442.3,116,-5573.800000000001
APARINDS,2026-02-23 00:00:00+05:30,2026-03-11 00:00:00+05:30,10690.0,9260.0,6,-8580.0
HONASA,2026-02-16 00:00:00+05:30,2026-03-13 00:00:00+05:30,306.15,268.95,312,-11606.399999999996
BANDHANBNK,2026-02-23 00:00:00+05:30,2026-03-16 00:00:00+05:30,173.65,162.54,572,-6354.920000000007
VTL,2026-02-09 00:00:00+05:30,2026-03-23 00:00:00+05:30,507.05,538.8,391,12414.249999999978
LINDEINDIA,2026-02-16 00:00:00+05:30,2026-03-30 00:00:00+05:30,6768.0,6844.0,26,1976.0
