date,symbol,rs_score,reason
2023-05-26 00:00:00+05:30,JYOTHYLAB,0.02,max positions (RS gap too small)
2023-05-26 00:00:00+05:30,SBIN,0,max positions (RS gap too small)
2023-06-05 00:00:00+05:30,DIXON,0.26,max positions (RS gap too small)
2023-06-05 00:00:00+05:30,ECLERX,0.15,max positions (RS gap too small)
2023-06-05 00:00:00+05:30,JMFINANCIL,0.11,max positions (RS gap too small)
2023-06-05 00:00:00+05:30,M&M,0.09,max positions (RS gap too small)
2023-06-05 00:00:00+05:30,GLAXO,-0.02,max positions (RS gap too small)
2023-06-06 00:00:00+05:30,ECLERX,0.12,max positions (RS gap too small)
2023-06-06 00:00:00+05:30,JMFINANCIL,0.12,max positions (RS gap too small)
2023-06-06 00:00:00+05:30,M&M,0.11,max positions (RS gap too small)
2023-06-06 00:00:00+05:30,GLAXO,-0.03,max positions (RS gap too small)
2023-06-07 00:00:00+05:30,DIXON,0.25,max positions (RS gap too small)
2023-06-07 00:00:00+05:30,ECLERX,0.11,max positions (RS gap too small)
2023-06-07 00:00:00+05:30,M&M,0.1,max positions (RS gap too small)
2023-06-07 00:00:00+05:30,JMFINANCIL,0.1,max positions (RS gap too small)
2023-06-07 00:00:00+05:30,GLAXO,-0.03,max positions (RS gap too small)
2023-06-08 00:00:00+05:30,DIXON,0.3,max positions (RS gap too small)
2023-06-08 00:00:00+05:30,ECLERX,0.15,max positions (RS gap too small)
2023-06-08 00:00:00+05:30,M&M,0.08,max positions (RS gap too small)
2023-06-08 00:00:00+05:30,JMFINANCIL,0.06,max positions (RS gap too small)
2023-06-08 00:00:00+05:30,GLAXO,-0.05,max positions (RS gap too small)
2023-06-09 00:00:00+05:30,DIXON,0.3,max positions (RS gap too small)
2023-06-09 00:00:00+05:30,ECLERX,0.18,max positions (RS gap too small)
2023-06-09 00:00:00+05:30,JMFINANCIL,0.1,max positions (RS gap too small)
2023-06-09 00:00:00+05:30,M&M,0.08,max positions (RS gap too small)
2023-06-09 00:00:00+05:30,GLAXO,-0.05,max positions (RS gap too small)
2023-06-12 00:00:00+05:30,JSWSTEEL,0.02,max positions (RS gap too small)
2023-06-26 00:00:00+05:30,CASTROLIND,-0.01,max positions (RS gap too small)
2023-07-10 00:00:00+05:30,KSCL,-0.07,max positions (RS gap too small)
2023-07-11 00:00:00+05:30,KSCL,-0.02,max positions (RS gap too small)
2023-07-11 00:00:00+05:30,JAMNAAUTO,-0.03,max positions (RS gap too small)
2023-07-12 00:00:00+05:30,JAMNAAUTO,-0.02,max positions (RS gap too small)
2023-07-12 00:00:00+05:30,KSCL,-0.02,max positions (RS gap too small)
2023-07-13 00:00:00+05:30,KSCL,-0.02,max positions (RS gap too small)
2023-07-14 00:00:00+05:30,KSCL,0,max positions (RS gap too small)
2023-07-14 00:00:00+05:30,JAMNAAUTO,-0.01,max positions (RS gap too small)
2023-07-17 00:00:00+05:30,TCS,-0.02,max positions (RS gap too small)
2023-12-11 00:00:00+05:30,GSPL,-0.04,daily entry cap
2023-12-18 00:00:00+05:30,VRLLOG,0.04,max positions (RS gap too small)
