symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl
KTKBANK,23-11-2025,14-12-2025,198.84,199.99,1472,1692.8
MASFIN,07-12-2025,18-01-2026,311.05,310.55,803,-401.5
TIMKEN,08-02-2026,12-02-2026,3287.1,3062.8,81,-18168.3
VTL,08-02-2026,22-03-2026,507.05,538.8,682,21653.5
ABB,08-02-2026,22-03-2026,5815.5,6041.5,62,14012
BLUESTARCO,15-02-2026,03-03-2026,1975.4,1843.6,96,-12652.8
MAHLOG,15-02-2026,12-03-2026,403.55,368.85,551,-19119.7
LINDEINDIA,15-02-2026,29-03-2026,6768,6844,35,2660
EDELWEISS,22-02-2026,03-03-2026,123.18,107.79,830,-12773.7
HSCL,22-02-2026,03-03-2026,490.35,442.3,236,-11339.8
,,,,,,
,1514,,,,,1131472.22
,,,,,,747.3396433
,,,,,,22420.1893
